stars,review_text,date_string
2,Came here for my birthday and two stars because the location is good and the interior looks nice. But the food was average at best and the service was really slow and inattentive. Way too expensive for what you get. Won't go back. The cocktail menu is fantastic.,2025-02-09 10:55:21
5,"Came here on a recommendation and I get the hype now. The crew is so friendly, hostess greeted us right away. Menu selection is great, we ordered four different dishes and every single one was excellent. The cocktail menu is fantastic.",2025-03-08 20:31:13
3,Took my family here and it was fine. The food was decent and the staff were polite. Nothing wowed us but nothing went wrong either. The music was a bit loud for a conversation. Might go back if someone else suggests it.,2025-04-15 17:15:50
3,"It was okay. Food was decent, nothing special but not bad either. Service was a bit slow and the waiter seemed disinterested at times. The atmosphere is nice though, good location. Might try again. Perfect for a family meal.",2025-02-13 11:42:27
4,"Enjoyed our evening here. The atmosphere is warm and inviting, nice music in the background. Food was flavourful and fresh. Service was attentive. Gave 4 stars only because the dessert menu was limited. Quieter on weekdays which I prefer.",2025-04-01 21:03:43
2,Been coming here for years and not great. Waited over 45 minutes for our food with no explanation or apology. When it arrived it was barely warm. The staff seemed completely disinterested. The decor is nice but that's about it. The music was a bit too loud for a proper conversation.,2025-03-24 21:21:51
1,"Been coming here for years and absolute disaster of an evening. Food was disgusting, service was rude, restaurant was noisy and messy. Complained to the manager who couldn't care less. Never again. This place should not be open. The cocktail menu is fantastic.",2025-02-25 13:34:28
5,"The service here sets the bar. Our server was polite, fast, and genuinely seemed to enjoy their job. The meal was delicious from start to finish. Cozy seating and great music, not too loud. Perfect night out. Great spot for a date night.",2025-03-08 17:15:55
5,"Came here on a recommendation and I get the hype now. The crew is so friendly, hostess greeted us right away. Menu selection is great, we ordered four different dishes and every single one was excellent.",2025-02-13 10:41:34
1,"Visited last week and do not go here. The food arrived cold and half-cooked. The waiter was rude when I asked for help. Waited ages for the bill, then were overcharged. Raised it and the response was aggressive. Disgusting. Seating was comfortable and spacious.",2025-05-08 13:10:26
3,Average experience. The food came out lukewarm which was disappointing. Staff were polite but it took a long time to get anyone's attention. The decor is nice. Hopefully just an off night for them. Perfect for a family meal.,2025-03-24 10:10:24
5,"Absolutely loved this place. The staff was incredibly attentive and friendly, our waiter checked in on us without being annoying. Food came out fast and tasted amazing, the steak was cooked perfectly. Will definitely be back. Wine list is impressive.",2025-03-31 14:27:44
2,Had a bad experience. The food was cold when it arrived and the manager was unapologetic when we brought it up. Staff seemed untrained and disorganized. Expected much more based on the price.,2025-02-20 13:18:13
5,"The food here is just outstanding. Tried the salmon and it was perfectly cooked, incredibly fresh. Service was fast and efficient. The interior is beautifully designed, very aesthetic. Loved every minute. The music was a bit too loud for a proper conversation.",2025-05-07 15:03:03
3,Decent meal. The starters were great but the mains were underwhelming. Staff were friendly enough. The restaurant was a bit cold. Overall okay but probably won't rush back unless the menu changes.,2025-04-09 12:03:32
5,Had a work dinner here and amazing place. The bartender made us the best cocktails and was super knowledgeable. Atmosphere was buzzing but not too loud. Food was delicious and came out quickly. Definitely coming back with friends. Seating was comfortable and spacious.,2025-04-18 11:43:55
4,Really good experience overall. Food was tasty and the service was friendly. The wait was a bit long for our mains but the waiter apologized and checked in on us. Would come back for sure. Loved the outdoor seating area.,2025-04-14 13:37:38
5,"Tried this place for the first time and went here for my anniversary and they made it so special. The manager came over to greet us, the team was on point all night. Delicious food, great value for the quality. Couldn't fault a thing. Quieter on weekdays which I prefer.",2025-04-26 19:36:33
4,"Made a reservation and pretty great experience. The cocktails were amazing and the bartender was fun to chat to. Food was good, the portion size could be slightly bigger for the price but overall very tasty. Nice ambience. Perfect for a family meal.",2025-04-27 21:20:15
4,"Nice place with a great atmosphere. The decor is modern and the lighting is lovely. Food was delicious, especially the risotto. Slightly pricey but not unreasonable for the quality. Would recommend. The AC was blasting which made it quite cold.",2025-04-27 20:19:29
4,"Tried this place for the first time and pretty great experience. The cocktails were amazing and the bartender was fun to chat to. Food was good, the portion size could be slightly bigger for the price but overall very tasty. Nice ambience. The parking situation is a nightmare though.",2025-03-31 19:36:06
5,"Came here on a recommendation and I get the hype now. The crew is so friendly, hostess greeted us right away. Menu selection is great, we ordered four different dishes and every single one was excellent. Perfect for a family meal.",2025-04-06 14:08:59
4,"Tried this place for the first time and enjoyed our evening here. The atmosphere is warm and inviting, nice music in the background. Food was flavourful and fresh. Service was attentive. Gave 4 stars only because the dessert menu was limited. The cocktail menu is fantastic.",2025-03-20 14:10:28
1,"Do not go here. The food arrived cold and half-cooked. The waiter was rude when I asked for help. Waited ages for the bill, then were overcharged. Raised it and the response was aggressive. Disgusting. Desserts were incredible.",2025-04-20 22:41:33
5,"Absolutely loved this place. The staff was incredibly attentive and friendly, our waiter checked in on us without being annoying. Food came out fast and tasted amazing, the steak was cooked perfectly. Will definitely be back. Desserts were incredible.",2025-04-26 11:56:08
4,"Been coming here for years and nice place with a great atmosphere. The decor is modern and the lighting is lovely. Food was delicious, especially the risotto. Slightly pricey but not unreasonable for the quality. Would recommend. Loved the outdoor seating area.",2025-05-07 18:09:17
4,"Came with friends and decent spot. The food was fresh and well-prepared. Service was good, no major complaints. Only thing I'd say is the bill came a bit slow at the end but the meal itself was excellent. Will be back. Would have given 5 stars but the wait was long.",2025-02-27 20:40:54
4,"Nice place with a great atmosphere. The decor is modern and the lighting is lovely. Food was delicious, especially the risotto. Slightly pricey but not unreasonable for the quality. Would recommend.",2025-03-05 10:05:40
4,Made a reservation and really enjoyed this place. Great hospitality from the whole team. Food was tasty and came out hot. Nice interior design. Only small thing was they got my order slightly wrong but fixed it straight away. The music was a bit too loud for a proper conversation.,2025-02-01 15:49:08
2,Made a reservation and pretty disappointed. The food was bland and overpriced. Our waiter was slow and barely came to check on us. The restaurant looks great from the outside but the experience inside didn't match. Won't be returning. Great spot for a date night.,2025-05-06 17:35:45
4,Really enjoyed this place. Great hospitality from the whole team. Food was tasty and came out hot. Nice interior design. Only small thing was they got my order slightly wrong but fixed it straight away. The parking situation is a nightmare though.,2025-02-15 11:56:44
5,"Incredible food and even better service. The chef clearly cares about quality, everything tasted fresh. Portion sizes are great for the price. The team were all friendly and helpful. This is our new favourite spot. The music was a bit too loud for a proper conversation.",2025-03-20 19:35:09
4,Took my family here and really enjoyed this place. Great hospitality from the whole team. Food was tasty and came out hot. Nice interior design. Only small thing was they got my order slightly wrong but fixed it straight away. The music was a bit too loud for a proper conversation.,2025-03-12 15:57:59
1,"Came here for my birthday and absolutely dreadful. The server ignored us for 20 minutes after we sat down. The food was burnt and tasted awful. The manager was rude when we raised concerns. Total rip-off. Disgusting service. The location is perfect, easy to find.",2025-02-27 20:15:42
5,"Walked past and decided to try it, everything was perfect. Our waitress was attentive and professional without hovering. The burger was juicy and fresh, fries crispy. Reasonable price for the quality. Really clean restaurant too.",2025-03-25 19:47:09
4,Had a work dinner here and really good experience overall. Food was tasty and the service was friendly. The wait was a bit long for our mains but the waiter apologized and checked in on us. Would come back for sure. Great spot for a date night.,2025-03-25 10:11:47
4,Good food and good service. The place was quite full when we arrived but we were seated quickly. Waiter was polite and checked in regularly. The steak was cooked to perfection. Slightly steep pricing. The cocktail menu is fantastic.,2025-03-07 12:50:44
5,"Everything was perfect. Our waitress was attentive and professional without hovering. The burger was juicy and fresh, fries crispy. Reasonable price for the quality. Really clean restaurant too. The music was a bit too loud for a proper conversation.",2025-04-02 13:12:52
4,"Walked past and decided to try it, had a lovely meal here. The flavours were bold and the food was clearly well-made. Staff were helpful and polite. The atmosphere is really nice in the evening. Prices are fair. Would recommend to friends. Desserts were incredible.",2025-03-02 13:01:42
5,"Best pizza in the city, no contest. Authentic recipe, perfect crust, fresh ingredients. Service was fast even on a busy Friday night. The place has a great vibe and the music was perfect background noise. Would have given 5 stars but the wait was long.",2025-03-08 11:49:17
4,"Enjoyed our evening here. The atmosphere is warm and inviting, nice music in the background. Food was flavourful and fresh. Service was attentive. Gave 4 stars only because the dessert menu was limited. Gets very crowded on weekends.",2025-04-28 18:21:01
5,"Made a reservation and booked a table for 8 and they handled it so well. Staff was organized and efficient. The variety on the menu is impressive. Food was tasty and authentic. The decor is gorgeous, very Instagrammable. Great spot for a date night.",2025-04-16 14:02:06
3,"Not sure I'd go back. The food was fine but the service was really slow. We had to ask multiple times for our bill. The atmosphere is nice and the decor is lovely but the experience needs work. The location is perfect, easy to find.",2025-05-05 22:20:27
3,Not sure I'd go back. The food was fine but the service was really slow. We had to ask multiple times for our bill. The atmosphere is nice and the decor is lovely but the experience needs work. Loved the outdoor seating area.,2025-03-22 19:12:16
5,"Went here for my anniversary and they made it so special. The manager came over to greet us, the team was on point all night. Delicious food, great value for the quality. Couldn't fault a thing. The parking situation is a nightmare though.",2025-04-08 22:34:43
2,"Came with friends and had a bad experience. The food was cold when it arrived and the manager was unapologetic when we brought it up. Staff seemed untrained and disorganized. Expected much more based on the price. The location is perfect, easy to find.",2025-03-28 11:42:58
4,Tried it after seeing it online and good food and good service. The place was quite full when we arrived but we were seated quickly. Waiter was polite and checked in regularly. The steak was cooked to perfection. Slightly steep pricing. Loved the outdoor seating area.,2025-05-04 14:32:19
2,Expected better. The meal was mediocre at best. Overpriced for the quality. The server was polite but kept getting our order wrong. We had to repeat ourselves three times. Frustrated by the end. Would have given 5 stars but the wait was long.,2025-03-24 21:18:35
5,"Came with friends and the service here sets the bar. Our server was polite, fast, and genuinely seemed to enjoy their job. The meal was delicious from start to finish. Cozy seating and great music, not too loud. Perfect night out. Quieter on weekdays which I prefer.",2025-04-27 16:43:47
5,Came back for the third time and the hospitality here is second to none. From the moment we walked in the hostess made us feel welcome. Our waiter was knowledgeable and patient with our questions. Food was outstanding. Highly recommend. Gets very crowded on weekends.,2025-04-12 10:19:18
5,"Fantastic experience all around. The reservation process was easy, they remembered my dietary requirements without me having to ask again. Food was spectacular. Clean, well-designed space. Worth every penny.",2025-04-19 20:20:29
4,"Good restaurant with a nice vibe. The selection on the menu is great, something for everyone. Food was delicious. Service was friendly. Took a star off because the restroom could use some attention. Perfect for a family meal.",2025-04-07 17:50:57
1,Had a work dinner here and absolutely dreadful. The server ignored us for 20 minutes after we sat down. The food was burnt and tasted awful. The manager was rude when we raised concerns. Total rip-off. Disgusting service. Seating was comfortable and spacious.,2025-03-09 18:42:40
3,Tried it after seeing it online and so-so experience. Some positives - the food tasted fresh and the location is great. But the wait time was too long and the staff seemed disorganized. It has potential. Hopefully they sort out the service. Seating was comfortable and spacious.,2025-05-08 13:43:19
5,"Came with friends and our waiter was brilliant, gave us great recommendations and wasn't pushy at all. The food matched every suggestion. Fresh, flavorful, well-presented. Great value. The restaurant was clean and had a lovely ambience. The AC was blasting which made it quite cold.",2025-02-04 10:15:30
3,Tried this place for the first time and so-so experience. Some positives - the food tasted fresh and the location is great. But the wait time was too long and the staff seemed disorganized. It has potential. Hopefully they sort out the service. The lunch menu is better value than dinner.,2025-03-26 20:36:12
2,Two stars because the location is good and the interior looks nice. But the food was average at best and the service was really slow and inattentive. Way too expensive for what you get. Won't go back.,2025-03-24 13:09:41
2,Visited last week and not what I hoped for. The waiter was rude and dismissive when I raised an issue with my food. The meal itself was bland and overcooked. The place looked cleaner in photos. Let down overall. Loved the outdoor seating area.,2025-03-27 13:11:51
2,Not what I hoped for. The waiter was rude and dismissive when I raised an issue with my food. The meal itself was bland and overcooked. The place looked cleaner in photos. Let down overall. The lunch menu is better value than dinner.,2025-02-07 18:15:58
1,Been coming here for years and shocking. We were seated then completely ignored for 30 minutes. The food was stale and badly presented. The restaurant was dirty and the staff were disinterested. Complete waste of money. Awful. The lunch menu is better value than dinner.,2025-02-18 22:29:42
3,"Mixed feelings. Some dishes were really good, others were just mediocre. Service was inconsistent. Nice atmosphere. I think on a better night it could be excellent but this visit was just okay.",2025-03-13 22:57:28
3,So-so experience. Some positives - the food tasted fresh and the location is great. But the wait time was too long and the staff seemed disorganized. It has potential. Hopefully they sort out the service. Quieter on weekdays which I prefer.,2025-04-12 17:57:10
2,Really let down. Our server ignored us for long stretches and got the order wrong twice. The food that eventually arrived was okay but nothing special. The restaurant was dirty around the edges. Not impressed. The lunch menu is better value than dinner.,2025-03-06 22:15:53
2,Made a reservation and pretty disappointed. The food was bland and overpriced. Our waiter was slow and barely came to check on us. The restaurant looks great from the outside but the experience inside didn't match. Won't be returning.,2025-04-04 20:15:17
4,"Tried this place for the first time and good restaurant with a nice vibe. The selection on the menu is great, something for everyone. Food was delicious. Service was friendly. Took a star off because the restroom could use some attention. Desserts were incredible.",2025-03-03 14:21:20
3,Tried this place for the first time and it was fine. The food was decent and the staff were polite. Nothing wowed us but nothing went wrong either. The music was a bit loud for a conversation. Might go back if someone else suggests it. The AC was blasting which made it quite cold.,2025-02-20 13:24:44
5,"Came with friends and incredible food and even better service. The chef clearly cares about quality, everything tasted fresh. Portion sizes are great for the price. The team were all friendly and helpful. This is our new favourite spot. Seating was comfortable and spacious.",2025-03-26 16:21:34
4,Had a lovely meal here. The flavours were bold and the food was clearly well-made. Staff were helpful and polite. The atmosphere is really nice in the evening. Prices are fair. Would recommend to friends. The music was a bit too loud for a proper conversation.,2025-02-27 16:24:57
1,Visited last week and one of the worst meals I've had. The food was raw in the middle and when I complained the waiter was dismissive and unprofessional. Waited over an hour. Will never go back and wouldn't recommend to anyone.,2025-03-21 17:00:22
4,Lovely restaurant. The team clearly take pride in their work. Our server was friendly and efficient. Chicken dish was perfectly cooked. Parking was a bit of a pain but the food made up for it. Quieter on weekdays which I prefer.,2025-04-10 21:47:34
1,"Stopped in on a whim and horrific experience. Found something in my food, staff completely dismissed the issue. The place was dirty and the service was nonexistent. Wasted money and left hungry. Stay away.",2025-03-01 14:27:31
5,"Best dining experience I've had in years. The atmosphere was cozy and warm, lighting was just right. Our server was polite and helpful with recommendations. The pasta was fresh and the portions were generous. Highly recommend. Would have given 5 stars but the wait was long.",2025-04-27 20:51:25
2,Had a work dinner here and had a bad experience. The food was cold when it arrived and the manager was unapologetic when we brought it up. Staff seemed untrained and disorganized. Expected much more based on the price. The lunch menu is better value than dinner.,2025-02-17 19:34:01
4,"Visited last week and great spot for a date night. Lovely atmosphere and very cozy. The food was delicious, the pasta in particular. Service was a bit slow to start but picked up. Would go back and try more of the menu. Seating was comfortable and spacious.",2025-04-24 16:08:55
4,Had a work dinner here and had a lovely meal here. The flavours were bold and the food was clearly well-made. Staff were helpful and polite. The atmosphere is really nice in the evening. Prices are fair. Would recommend to friends. The music was a bit too loud for a proper conversation.,2025-03-06 16:20:13
4,Tried it after seeing it online and had a lovely meal here. The flavours were bold and the food was clearly well-made. Staff were helpful and polite. The atmosphere is really nice in the evening. Prices are fair. Would recommend to friends. Would have given 5 stars but the wait was long.,2025-05-09 16:17:48
1,"Do not go here. The food arrived cold and half-cooked. The waiter was rude when I asked for help. Waited ages for the bill, then were overcharged. Raised it and the response was aggressive. Disgusting. Wine list is impressive.",2025-02-11 17:01:47
3,"Came here for my birthday and it was fine. The food was decent and the staff were polite. Nothing wowed us but nothing went wrong either. The music was a bit loud for a conversation. Might go back if someone else suggests it. The location is perfect, easy to find.",2025-03-01 20:04:49
2,Came here for my birthday and not great. Waited over 45 minutes for our food with no explanation or apology. When it arrived it was barely warm. The staff seemed completely disinterested. The decor is nice but that's about it. The parking situation is a nightmare though.,2025-03-04 13:53:01
3,Took my family here and so-so experience. Some positives - the food tasted fresh and the location is great. But the wait time was too long and the staff seemed disorganized. It has potential. Hopefully they sort out the service. The cocktail menu is fantastic.,2025-02-17 17:42:07
3,"Came with friends and had higher expectations based on the reviews. The food was fine but nothing memorable. Service was average, not rude but not particularly helpful either. The location is convenient. Maybe bad timing. The lunch menu is better value than dinner.",2025-05-01 14:49:23
5,Been coming here for years and came for brunch and stayed way longer than planned because we were having such a good time. Staff were warm and attentive. The eggs benedict were incredible. Beautiful interior design. Very affordable too. Great spot for a date night.,2025-03-12 11:37:01
4,Lovely restaurant. The team clearly take pride in their work. Our server was friendly and efficient. Chicken dish was perfectly cooked. Parking was a bit of a pain but the food made up for it. Gets very crowded on weekends.,2025-05-03 13:04:37
2,Stopped in on a whim and not what I hoped for. The waiter was rude and dismissive when I raised an issue with my food. The meal itself was bland and overcooked. The place looked cleaner in photos. Let down overall. Loved the outdoor seating area.,2025-05-01 22:19:54
2,Been coming here for years and disappointing visit. The food was stale and the portion sizes were tiny for the price. The atmosphere is okay but the service was terrible. Felt ignored for most of the evening. Unlikely to return.,2025-02-06 15:34:27
2,"Walked past and decided to try it, expected better. The meal was mediocre at best. Overpriced for the quality. The server was polite but kept getting our order wrong. We had to repeat ourselves three times. Frustrated by the end. Seating was comfortable and spacious.",2025-04-06 20:21:00
1,Shocking. We were seated then completely ignored for 30 minutes. The food was stale and badly presented. The restaurant was dirty and the staff were disinterested. Complete waste of money. Awful.,2025-02-14 16:23:40
1,"Do not go here. The food arrived cold and half-cooked. The waiter was rude when I asked for help. Waited ages for the bill, then were overcharged. Raised it and the response was aggressive. Disgusting. The AC was blasting which made it quite cold.",2025-03-28 12:46:33
2,Made a reservation and not great. Waited over 45 minutes for our food with no explanation or apology. When it arrived it was barely warm. The staff seemed completely disinterested. The decor is nice but that's about it.,2025-04-10 22:30:29
4,Made a reservation and really enjoyed this place. Great hospitality from the whole team. Food was tasty and came out hot. Nice interior design. Only small thing was they got my order slightly wrong but fixed it straight away. Would have given 5 stars but the wait was long.,2025-03-04 11:17:56
4,"Stopped in on a whim and good restaurant with a nice vibe. The selection on the menu is great, something for everyone. Food was delicious. Service was friendly. Took a star off because the restroom could use some attention. The lunch menu is better value than dinner.",2025-04-14 19:42:24
4,Visited last week and good food and good service. The place was quite full when we arrived but we were seated quickly. Waiter was polite and checked in regularly. The steak was cooked to perfection. Slightly steep pricing.,2025-03-14 12:31:13
4,"Made a reservation and enjoyed our evening here. The atmosphere is warm and inviting, nice music in the background. Food was flavourful and fresh. Service was attentive. Gave 4 stars only because the dessert menu was limited. Would have given 5 stars but the wait was long.",2025-03-08 19:44:56
4,Had a great dinner here. Staff were helpful and attentive. The menu has a good variety and everything we ordered tasted great. A bit crowded on a Saturday which made it a little noisy but nothing too bad. The parking situation is a nightmare though.,2025-04-08 13:05:15
2,Had a bad experience. The food was cold when it arrived and the manager was unapologetic when we brought it up. Staff seemed untrained and disorganized. Expected much more based on the price.,2025-04-13 22:15:44
3,"It was okay. Food was decent, nothing special but not bad either. Service was a bit slow and the waiter seemed disinterested at times. The atmosphere is nice though, good location. Might try again. The lunch menu is better value than dinner.",2025-02-03 11:18:14
4,"Stopped in on a whim and great spot for a date night. Lovely atmosphere and very cozy. The food was delicious, the pasta in particular. Service was a bit slow to start but picked up. Would go back and try more of the menu. Desserts were incredible.",2025-04-26 19:23:30
3,"Okay spot. The menu looks impressive but the execution was a bit hit or miss. The waiter was friendly. Food took longer than expected to arrive. Price is a bit steep for average food. Nice interior though. The location is perfect, easy to find.",2025-03-27 21:35:21
4,"Enjoyed our evening here. The atmosphere is warm and inviting, nice music in the background. Food was flavourful and fresh. Service was attentive. Gave 4 stars only because the dessert menu was limited. Wine list is impressive.",2025-03-12 14:14:07
2,Came with friends and had a bad experience. The food was cold when it arrived and the manager was unapologetic when we brought it up. Staff seemed untrained and disorganized. Expected much more based on the price. Would have given 5 stars but the wait was long.,2025-02-16 21:34:48
2,Had a work dinner here and not what I hoped for. The waiter was rude and dismissive when I raised an issue with my food. The meal itself was bland and overcooked. The place looked cleaner in photos. Let down overall. Perfect for a family meal.,2025-02-28 21:30:17
2,Had a bad experience. The food was cold when it arrived and the manager was unapologetic when we brought it up. Staff seemed untrained and disorganized. Expected much more based on the price.,2025-03-09 11:53:12
4,"Stopped in on a whim and decent spot. The food was fresh and well-prepared. Service was good, no major complaints. Only thing I'd say is the bill came a bit slow at the end but the meal itself was excellent. Will be back. The location is perfect, easy to find.",2025-02-23 14:00:45
3,Took my family here and it was fine. The food was decent and the staff were polite. Nothing wowed us but nothing went wrong either. The music was a bit loud for a conversation. Might go back if someone else suggests it. Wine list is impressive.,2025-02-06 10:35:18
2,Took my family here and not what I hoped for. The waiter was rude and dismissive when I raised an issue with my food. The meal itself was bland and overcooked. The place looked cleaner in photos. Let down overall.,2025-02-14 10:36:18
3,"It was okay. Food was decent, nothing special but not bad either. Service was a bit slow and the waiter seemed disinterested at times. The atmosphere is nice though, good location. Might try again. The lunch menu is better value than dinner.",2025-03-16 12:03:16
1,"Absolute disaster of an evening. Food was disgusting, service was rude, restaurant was noisy and messy. Complained to the manager who couldn't care less. Never again. This place should not be open. Loved the outdoor seating area.",2025-02-09 16:31:04
3,"Came here for my birthday and had higher expectations based on the reviews. The food was fine but nothing memorable. Service was average, not rude but not particularly helpful either. The location is convenient. Maybe bad timing. The AC was blasting which made it quite cold.",2025-02-20 22:36:19
5,Stopped in on a whim and amazing place. The bartender made us the best cocktails and was super knowledgeable. Atmosphere was buzzing but not too loud. Food was delicious and came out quickly. Definitely coming back with friends. Loved the outdoor seating area.,2025-04-13 22:26:38
3,Stopped in on a whim and not sure I'd go back. The food was fine but the service was really slow. We had to ask multiple times for our bill. The atmosphere is nice and the decor is lovely but the experience needs work.,2025-03-21 17:58:28
4,Lovely restaurant. The team clearly take pride in their work. Our server was friendly and efficient. Chicken dish was perfectly cooked. Parking was a bit of a pain but the food made up for it. Desserts were incredible.,2025-04-14 19:03:39
2,Been coming here for years and really let down. Our server ignored us for long stretches and got the order wrong twice. The food that eventually arrived was okay but nothing special. The restaurant was dirty around the edges. Not impressed. Perfect for a family meal.,2025-04-22 13:16:42
